LHS,RHS,Count
VBP,show,2
S,"PP-LOC , PP-TMP , NP-SBJ ADVP VP",1
JJ,publicity-seeking,1
PP-TMP,IN SBAR,1
VBD,organized,1
JJ,spectacular,1
NNP,Yankee,1
NNP,Stadium,1
JJ,bicentennial,1
NN,rally,1
VP,VBD NP-PRD PP-LOC,1
NP-PRD,QP JJ NNP NNP NNS,1
QP,JJ IN CD,1
NP-SBJ,"NP , NP , CC NP",2
JJ,Watergate-beleaguered,1
NNP,Nixon,2
NNP,Koreagate,1
NN,prison,1
NN,sentence,1
NN,income-tax,2
NN,recruitment,1
NNS,Defections,1
NNS,burnouts,1
NP,NN `` NNS '',1
NN,abduction,1
NNS,deprogrammings,1
RB,high,1
S,SBAR-SBJ VP .,1
SBAR-SBJ,IN S,1
VP,VBN ADVP-CLR,1
NP,PRP$ CD NN,2
NN,graying,1
NP,DT JJ JJ `` NNPS '',1
JJ,enthusiastic,2
NNPS,Moonies,1
NN,era,1
ADJP-PRD,NN PP,1
NN,faithful,1
NNP,Father,1
VP,VBP ADVP-TMP NP-PRD,1
NP-PRD,"NP , VP",1
NN,procreation,1
NN,conversion,1
JJ,reputed,1
NN,wealth,1
NN,contention,1
S,PP-TMP PP-TMP NP-SBJ VP .,1
NN,while,1
VP,"VBD PP-PRD , PP",1
JJ,spending,1
NN,spree,1
NP,"NP : NP : NP : NP : NP , CC NP",1
NP,DT JJ NNP NNP NNP,1
NNP,Hotel,1
NP,PRP$ JJ NNP NNP,1
JJ,fishing\/processing,1
NN,conglomerate,2
NNS,branches,3
NNP,Alaska,1
NNP,Louisiana,1
NP,DT JJ NNP NNPS NN,1
NNP,Christian,1
NN,monastery,1
NN,mansion,1
PRN,-LRB- S-ADV -RRB-,1
ADJP-PRD,RB VBN PP-LOC,1
RB,picturesquely,1
VBN,situated,1
NNP,River,1
PP-LOC,PP PP,1
NNP,Uruguay,1
NNP,Tribune,1
NNP,News,1
NP,DT JJ JJ NNP FW NNP,1
JJ,Spanish-language,1
NNP,Noticias,1
FW,del,2
NNP,Mundo,1
S,ADVP NP-SBJ VP .,2
JJ,misleading,1
VBN,obtained,1
NNS,inputs,1
NNS,downpayments,1
JJ,sizable,1
NNS,fund-raisers,1
NNS,flowers,1
NNS,peanuts,2
VBG,begging,1
RB,outright,1
NN,traffic,3
NNS,intersections,1
VP,VBN PP-DIR PP-TMP,1
PP-DIR,RP NP,1
QP,RB IN $ CD CD,1
JJ,mid-to-late,1
NNS,revenues,1
NN,pittance,1
JJ,lavish,1
NN,speaking,1
JJ,assorted,1
NNS,buys,1
NP,JJ PRP$ NNS,1
JJ,Only,1
NNS,factories,1
VBG,employing,1
NNS,followers,1
NN,subsistence,1
NNS,wages,1
PP,PP PP PP,1
NNS,rifles,1
NN,ginseng,1
NN,marble,1
NNS,vases,1
RB,westward,1
NP,NNP NNP NNP NN NNP NNP,1
NNP,Commonwealth,1
NN,sociologist,1
NNP,Bromley,2
ADVP,RBR PP,1
NN,researcher,4
VBN,delved,1
JJ,Unificationist,2
VBN,concluded,1
RB,Likewise,2
NP,NNS NNP NNP CC NNP NNP,1
NNP,Burgess,1
NNP,Isikoff,1
NNP,Post,1
QP,IN JJS $ CD CD,1
CD,800,3
VP,VBN NP PP-DIR PP-DIR S-PRP,1
VBN,transferred,1
VB,deal,2
NP-SBJ,NP CD JJ NNP NNS,1
JJ,English-language,1
VBP,illustrate,1
NN,drain,2
NP-SBJ,NP PP ADVP,1
JJ,Start-up,1
NNPS,Times,1
JJ,journalistic,1
NN,organization,1
VBN,inaugurated,1
NN,pair,1
NN,opinion,4
NP,NP-TTL CC NP-TTL,1
NP-TTL,NP CC NP,1
NNP,I,1
NNP,Insight,1
NNS,Insiders,1
NP-SBJ,RB RB PRP$ NNS,1
NNS,editors,1
VP,VBP PP SBAR,1
JJ,show-piece,1
NNS,publications,2
VBN,cost,1
JJ,church-owned,1
NN,factory,2
NN,fishing,1
NNS,vessels,1
VP,VBD S NP-TMP,1
NNS,budgets,1
VBN,cut,3
NP-TMP,NP CC ADVP NP,1
NP,DT ADJP JJ NNS,2
VBN,attracted,1
NP,NP : CC NP :,1
NNS,guests,1
ADJP,ADVP ADJP CC ADJP,1
RB,narrowly,1
JJ,targeted,1
JJ,austere,1
JJ,thousand-person,1
NNS,get-togethers,1
NNS,digs,1
JJ,exotic,1
NNS,locales,1
VBD,attended,1
JJ,dual,1
NN,presenter,1
NNS,findings,1
NN,investigator,1
NNS,hosts,1
S,-LRB- NP-SBJ ADVP-TMP ADVP VP . -RRB-,1
NNP,Paragon,1
VBD,published,1
JJ,co-edited,1
NNS,politics,1
NN,veteran,1
NNS,watchers,1
NNS,affairs,2
NNP,Gordon,1
NNP,Melton,1
NNP,Study,1
NNP,Religion,1
NP-SBJ,RB DT NNS,1
VP,ADVP-MNR VBN NP SBAR-TMP,1
RB,drastically,1
VBZ,concentrates,1
PP-CLR,ADVP IN S-NOM,1
NN,empire,1
NNP,Far,3
S,`` NP-SBJ PRN VP . '',1
NN,Everything,2
PRN,", '' S , ``",1
NP,CD ADJP JJ NN,1
ADJP,`` NN '',1
``,non-``,1
NN,Moonie,1
VP,VBD NP PP-LOC S,1
NN,interview,3
S,-LRB- NP-SBJ VP .,1
VBN,proved,1
ADJP-PRD,ADVP PP,2
ADVP,RB RBR JJ,1
JJ,hospitable,1
S,NP-SBJ VP . -RRB-,1
VB,investigate,1
VB,harass,1
NNS,religions,1
VP,"VBZ PP-PRD , S-ADV",1
NN,retreat,1
VBG,refocusing,1
NP-SBJ,NP NNP NN NN,2
NNP,Tong'Il,1
RB,heavily,2
VP,VBP NP ADVP-LOC,1
VP,VP CC VP PP-TMP,1
VBG,expanding,1
NNS,converts,1
JJ,bloody,1
NN,massacre,1
NNP,Panda,1
NP-PRD,CD JJ NN,1
NNS,consultants,2
VP,VBZ ADVP-MNR VP,1
VBN,negotiated,2
JJ,Chinese,6
JJ,automobile-parts,1
NNP,Guangdong,1
NNP,Province,1
VP,VB PRT NP PP-TMP,1
NNS,churches,1
VBD,spread,1
NNP,Unificationism,1
NP,WDT NX,1
WDT,Whatever,1
NN,respectability,1
NX,NX PP,1
NNS,intellectuals,1
NNS,opinion-makers,1
NN,salvage,1
NP,"RB NP , CC NP",1
NNP,Rev.,1
NNS,goals,2
NNS,ones,3
VB,settle,1
NNP,Shupe,1
NP-PRD,NP PRN PP,1
NN,co-author,1
PRN,-LRB- PP -RRB-,1
NNP,G.,1
NP-TTL,NP : NP,2
NNS,Moonies,1
NP,"NN , NN , CC NN",1
NN,Cult,1
NN,Church,1
NN,Crusade,1
JJ,Strange,1
NNS,Gods,1
NNP,Cult,1
NNP,Scare,1
NP-SBJ,DT NNP NNP NNP NNP NNP,1
NNP,Manville,13
NNP,Personal,1
NNP,Injury,1
NNP,Settlement,1
NP,NP SBAR SBAR,1
NNS,ways,5
NN,crunch,1
NN,filing,2
NN,holder,1
CD,765,1
VBN,depleted,1
JJ,alternative,1
NNS,sources,2
NN,bankruptcy-law,2
NN,reorganization,3
JJ,asbestos-related,1
NNS,diseases,1
CD,2.5,1
NNS,Spokespersons,1
PP-CLR,IN SBAR,3
NN,acquirer,1
VP,VBN NP-CLR,1
NP-CLR,NN,3
NP,DT NN CC NN NNS NN,1
NN,forest,1
NP,NP : NP : CC NP,1
NN,recapitalization,1
VP,VBG PP-DIR PP-LOC,1
NNP,Pravda,3
NP-LGS,NNS S,1
JJ,bloated,1
NNS,payrolls,1
NN,Unemployment,1
VP,"VP , VP , VP , VP , VP CC VP",1
CD,27.6,1
NNP,Azerbaijan,1
VP,NP PP-LOC,5
CD,25.7,1
NNP,Tadzhikistan,1
CD,22.8,1
NNP,Uzbekistan,1
CD,18.8,1
NNP,Turkmenia,1
NNP,Armenia,1
NNP,Kirgizia,2
NNP,Communist,1
DT,All,4
JJ,non-Russian,1
NNS,republics,1
NN,border,1
NN,rioting,2
PP-PRD,JJ NP,1
VBG,retraining,1
NN,estimate,1
NP-SBJ,NP PP '' SBAR,1
NP,DT `` NNP,1
NNP,Unemployed,1
VP,VBN PRT SBAR,1
VBN,cropped,1
WHNP,DT,1
NP,QP NNPS,2
JJ,11-week,1
CD,"1,640",1
VBN,slashed,1
VBN,crippled,1
NN,continent,1
NN,tourist,1
VBG,flying,2
NNP,Moore,1
NNP,Australian,1
NNP,Tourist,1
VP,VBD : `` SBARQ,1
SBARQ,WHADVP SQ,1
WRB,How,1
NN,travel,1
NN,agent,1
VP,VB NP ADVP-MNR SBAR-TMP,1
VB,guarantee,1
NN,flight,1
NP,VB NN NNP,1
VB,Transport,1
NNP,TNT,2
NP,NP CD JJ JJ NNS,1
VP,"VBN ADJP-PRD , S-ADV",1
VP,VBG NP NP-EXT PP-DIR PP-TMP,1
VBG,cutting,4
JJ,Brazilian,2
NN,financier,1
NNP,Naji,1
NNP,Nahas,3
VP,VBN NP PP-TMP PP-TMP,1
VBN,arrested,1
CD,102,1
NN,hiding,1
VBN,interrogated,1
NP-LGS,DT JJ NN,1
NN,judiciary,2
VP,ADVP-MNR VBD NP PP-TMP SBAR-TMP,1
RB,single-handedly,1
VBD,provoked,1
JJ,one-day,1
NN,closure,1
NNP,Brazil,2
VP,VBD S ADVP-TMP,1
VB,honor,1
CD,31.1,1
VBN,owed,2
VBD,blamed,1
NN,predicament,1
NNP,Sao,1
NNP,Paulo,1
PP-TMP,NP-ADV IN NP,1
NP-ADV,DT JJ NNS,1
NN,margin,1
JJ,stock-margin,1
NN,parliament,1
VBD,ousted,1
NN,panel,3
VBG,drafting,1
NN,constitution,2
NN,colony,1
NP,DT CD,2
NNP,Szeto,1
NNP,Wah,1
NNP,Lee,10
VP,VBN S SBAR-PRP,1
VBN,deemed,1
JJ,unfit,1
VBN,condemned,1
NN,crackdown,2
JJ,pro-democracy,1
VBG,formulating,2
PP,IN SBAR-TMP,1
VP,VBZ PP-CLR PP-TMP ADVP-TMP,1
VBZ,reverts,1
VP,VB SBAR-ADV,2
VBP,abandon,1
JJ,antagonistic,1
NN,stand,1
VB,nullify,1
JJ,Sino-British,1
NN,declaration,1
NP-HLN,NP PP .,1
NN,NUCLEAR,1
NN,REACTOR,1
NNP,ISRAEL,1
JJ,Israeli,2
VBD,confirmed,1
NNP,Moshe,1
NNP,Shahal,1
NN,counterpart,1
NNP,Epp,1
VBD,discussed,1
NP,NP PP PP-PRP,1
NP,DT ADJP JJ JJ NN,1
NN,reactor,2
NN,electricity,3
NNP,Embassy,1
NNP,Tel,1
NNP,Aviv,1
VP,VBD ADJP-PRD SBAR-TMP,2
NNP,Candu,1
NN,heavy-water,1
NNP,Israel,3
VBN,signed,1
NNP,Non-Proliferation,1
VP,VBN NP PP-TMP PP-CLR,1
VP,VBG NP S-CLR,1
NN,subterfuge,1
VB,seek,5
VBN,needed,1
VP,VBG NP NP-TMP S-CLR,1
VBG,signing,2
NN,protocol,1
VBG,establishing,1
JJ,diplomatic,2
NNP,Poland,3
VB,loan,1
VP,MD `` VP,1
NN,experience,4
JJ,Communist,1
VB,recognize,2
VP,VBD NP PP-CLR PP-TMP,2
VBD,established,2
NNP,Hungary,2
NNP,February,1
NNP,Venezuela,2
VP,"VB NP NP-TMP , PP",1
JJ,debt-equity,2
VBG,participating,1
VP,VBG PRT NP PP-CLR,1
NN,debt-equity,1
NNS,swaps,1
NN,disbursement,1
CD,600,1
VBN,disbursed,1
NP-LGS,DT NNP NNP,1
NNP,Central,1
CD,1.78,1
NNP,Edwin,1
NNP,Perozo,1
NN,superintendent,1
VP,VBP PP-LOC-PRD,3
NN,tourism,1
NP,NN CC JJ NNS,1
NN,fishery,1
JJ,agro-industry,1
VB,submit,2
JJ,sealed,1
VBN,allocated,1
NNS,offers,1
JJ,Venezuelan,1
NN,song,3
NNP,Tracy,1
NNP,Chapman,1
VBG,praising,1
NP,JJ JJ NN NNP NNP,1
JJ,jailed,1
NNP,Nelson,1
NNP,Mandela,1
VBN,banned,1
NP,ADJP NN NN CC NN,1
NN,radio,1
S,NP-SBJ VP . '' :,1
NNP,African,1
NNP,Broadcasting,1
NP-SBJ,NP `` NP-TTL '',1
NP-TTL,NN RB,1
NN,Freedom,1
JJ,undesirable,2
NN,broadcasting,2
VBD,passed,1
NN,soccer,1
NN,identity,1
NP,DT `` JJ '' NN,1
JJ,anti-hooligan,1
VB,deprive,1
NNS,troublemakers,1
VBN,ratified,1
NNPS,Lords,1
VP,VB ADJP-PRD NP-TMP,2
NNP,Imelda,1
NNP,Marcos,18
VP,VBN PP-DIR PP,1
NN,will,2
JJ,marital,5
NNS,privileges,2
NNS,spouses,2
VBG,incriminating,1
NNP,Keenan,7
VBD,ordered,2
VP,VB PRT PP-CLR NP,1
VB,turn,4
NNS,pleadings,1
VP,VBN NP PP-LOC PP,2
VBN,claimed,1
VP,VB S SBAR-PRP,1
SBAR-PRP,SBAR CC SBAR,1
VP,VBN NP ADVP-DIR ADVP-MNR,1
RB,involuntarily,1
VBG,providing,1
NNS,materials,2
VB,violate,2
NN,privilege,5
S,"PP-TMP , SBAR-TMP , NP-SBJ VP .",1
SBAR-TMP,NP-ADV IN S,2
NP-ADV,NP CC NP,1
NP,"NP , NP , NP ,",1
NN,husband,1
NNP,Ferdinand,1
JJ,ousted,1
NNPS,Philippines,5
VBD,fled,2
NNP,Hawaii,1
VBN,charged,3
NN,racketeering,1
NN,obstruction,1
NN,fraud,2
VP,VBD NP PP-CLR PP-LOC,1
VBD,embezzled,1
NN,homeland,1
JJ,Much,1
VP,ADVP-MNR VBN PP-MNR,1
RB,fraudulently,1
VBN,concealed,1
NP,JJ NNP JJ NN,1
JJ,prime,2
JJ,criminal,2
NNS,defendants,2
VBN,sought,3
VBN,meant,2
VB,overcome,1
NNS,delays,1
NP-LGS,NP PP S,1
NNS,procedures,2
NP,JJ NN NNS CC NN NNS,1
NP-SBJ,NP VBN NNS,1
NNPS,Marcoses,1
VBN,alleged,2
NNS,crimes,2
NN,kidnapping,1
NP-SBJ,DT NN SBAR,2
JJ,unsupported,2
NN,affirmation,1
NP,DT CD JJ JJ NNS,1
JJ,testimonial,1
VBN,cited,2
VBZ,permits,1
NN,witness,1
VB,refuse,1
NN,spouse,1
NN,purpose,3
VP,VBZ `` VP,1
VBG,fostering,1
NN,harmony,1
S-TPC,"SBAR-PRP , NP-SBJ VP",1
VBZ,protects,1
JJ,confidential,1
NNS,utterances,1
PRN,": RB NP , SBAR-ADV",1
IN,Though,2
VBD,threw,2
NNS,objections,1
NN,defendant,1
JJ,constitutional,2
NN,self-incrimination,3
NP-LGS,DT NNS,1
VB,determine,3
VBD,directed,1
NNP,Fifth,1
NNP,Amendment,1
VBN,violated,1
NNP,Sandor,1
NNP,Frankel,1
VBN,admitted,1
VBD,filed,4
NNP,Charles,3
NNP,LaBella,1
NP,DT NN NNP NN,1
VBG,prosecuting,1
NN,phone,2
NNS,calls,1
NP-SBJ,NNP . CC JJ NN NNS,1
CC,AND,1
JJ,BRITISH,1
NN,LAW,1
NNS,FIRMS,1
VBP,announce,1
NNP,Sidley,5
NP,DT VBG JJ NN NN,1
JJ,Chicago-based,1
NNP,Ashurst,4
NNP,Morris,1
NNP,Crisp,1
JJ,midsized,2
NNS,solicitors,1
VP,VBN NP-TMP S,1
VP,VBN NP PP-LOC PP-CLR,2
VBG,advising,1
JJ,multinational,1
VP,"VB `` NP '' PP-CLR , PP",1
JJ,one-stop,1
NN,shopping,1
NN,advice,2
NP,NN NNP NNP,3
NNP,Bruce,1
NNP,Schimberg,1
NN,specialist,1
VP,VB PP-DIR PP-DIR S-PRP NP-TMP,1
NNP,Sidley-Ashurst,1
VBN,staffed,1
VBG,specializing,1
VBG,concentrating,1
VB,tap,1
NP,DT CD NNP NN NNS,1
NNP,Hashidate,1
NP-SBJ,DT NNP NNP NNPS,1
DT,THE,2
NNP,UNITED,1
NNP,AUTO,1
NNPS,WORKERS,1
NN,rehearing,1
NP,DT NNP JJ NN NN,1
NN,union,5
VBZ,engages,1
NN,wage-discrimination,1
JJ,three-judge,1
NNP,UAW,3
JJ,14-judge,1
VP,"VBD NP PP-TMP , S-ADV",1
VBD,sued,1
S,NP-SBJ ADVP-MNR VP,3
RB,intentionally,1
VBD,segregated,1
NNS,classifications,1
NN,sex,1
RB,predominantly,1
NNS,males,1
VBG,determining,1
JJ,discriminatory,1
NN,representative,1
NP,QP NNP NN NNS,2
CD,"20,000",1
NP-HLN,NNP NNP NN :,1
NNP,NEW,1
NNP,JERSEY,1
NN,MERGER,1
NP,"NNP , NNP CC NNP",2
NNP,Norris,3
NNP,McLaughlin,3
NNP,Marcus,1
JJ,41-lawyer,1
NNP,Manger,1
NNP,Kalison,1
NNP,McBride,1
NNP,Webb,1
NN,specialty,1
JJ,general-practice,1
VP,VBN ADVP-TMP PP-CLR,1
VBN,expanded,1
NP-SBJ,DT VBN NN,1
VBN,merged,1
NP-HLN,NN NNS :,1
NN,DRUG,1
NNS,WARS,1
NN,legislator,1
VBZ,proposes,1
VBG,color-coding,1
NNS,drivers,1
NN,drug,3
NNS,offenders,1
VB,authorize,1
NNS,courts,1
VB,order,1
NN,condition,1
NN,probation,1
NP,NNP NNP NNP `` NNP '' NNP,1
NNP,Senator,1
NNP,J.E.,1
NNP,Buster,1
NNP,Republican,1
NP,NNP NN NN,1
JJ,altered,1
NN,embarrassment,1
NNS,teenagers,1
JJ,deterrant,1
NNP,Avena,1
NP,DT NNP NNP NNPS NNP,2
NNP,Civil,1
NNPS,Liberties,1
NP-PRD,JJ NN,2
NN,gimmickry,1
VBZ,fails,1
NN,amendment,3
NP-LGS,NP PRN,1
NNP,Bosco,1
VP,VBN NP ADVP PP-TMP,1
ADVP,JJ,1
JJ,283,1
VBG,dealing,1
NNS,buy-outs,1
NNS,airlines,1
QP,CD NN CC JJR,1
VP,"VP , VP , CC VP",2
VBD,threatened,1
VBD,reduced,1
VP,VBD NP PP-PUT,1
VBZ,faces,2
VP,VB NP-TMP,2
VBN,run,1
VP,VBN PP-CLR PP-LOC,1
NP,NN CD,1
NN,Chapter,2
NNP,Bankruptcy,2
NNP,Code,1
NP-SBJ,NP NNP NNPS,2
VBN,subtitled,1
NP-PRD,DT `` S-TTL '' NN,1
S-TTL,NP-SBJ VP,3
NNP,Lorenzo,1
NP-SBJ,"NP-SBJ PRN , NP , SBAR",1
NNP,Oberstar,1
NN,aviation,1
NN,provision,1
VP,VBD ADJP-PRD SBAR-PRP,2
NNS,deals,1
NN,regimen,1
VBD,governed,1
NNP,Nissan,54
JJ,technical,2
NNS,suburbs,1
NNS,Employees,1
VBD,wore,1
NN,identification,1
NNS,badges,2
VBG,listing,1
NP,CONJP NP CONJP NP,1
NN,hire,1
S,"S , RB S .",1
VB,voice,1
NN,everybody,1
JJR,younger,2
NP,DT ADJP,1
ADJP,RBS JJ CC JJ,1
VP,VBD PRT ADVP,1
VBD,spoke,1
NP,DT `` S-TTL '' NN,1
VB,speak,1
VP,VP PRN,2
VBN,abolished,1
PRN,: NP,2
NNS,steps,1
JJ,cultural,3
NN,revolution,2
VP,ADVP VBG ADVP PP-CLR,1
NN,subtlety,1
NN,freight,1
NN,train,1
VBN,instituted,1
JJ,flex-time,1
NNS,schedules,1
VP,VB UCP-MNR,1
VB,dress,1
UCP-MNR,"ADVP , PP",1
RB,casually,1
JJ,blue,1
VBG,forbidding,1
NNS,staffers,2
NNS,designers,2
VBP,drive,1
JJ,decades-old,1
VBN,filled,1
NNP,Mount,2
NNP,Fuji,2
VBN,scrapped,1
JJ,snappy,1
VBN,sung,1
NP-LGS,DT JJ JJ NN,1
NN,vocalist,1
S,"CC PP-LOC , NP-SBJ ADVP-TMP VP .",1
NP,DT JJ JJ JJ,1
VBD,opened,1
NN,coed,1
NN,dormitory,1
JJ,suburban,1
NNP,Tadahiko,1
NNP,Fukuyama,1
NNS,public-relations,1
S,"`` CC PP-TMP , NP-SBJ VP . ''",1
VB,follow,1
NN,voice,1
NP-SBJ,DT JJ FW,1
FW,glasnost,1
S,"NP-SBJ , PP-TMP , VP",1
JJ,lackluster,1
JJ,lousy,1
VP,VP CC VP ADVP-PRP,1
VBN,loosened,1
JJ,rigid,1
VP,ADVP-TMP VBZ VP,1
NP,"NP PP , VP",2
JJ,sleek,2
NNP,Maxima,2
NN,sedan,3
JJ,Porsche-like,1
NNP,300ZX,3
NP,DT ADJP NNP,3
RB,whimsically,1
JJ,nostalgic,1
NNP,Pao,3
NN,minicar,1
NN,turnaround,2
VP,VBZ ADVP-PRD,3
JJ,crucial,1
NNS,tests,5
VP,ADVP VBG,1
S,CC NP-SBJ ADVP-TMP VP .,1
JJ,surprising,1
JJ,important,4
NNS,lessons,1
VP,ADVP-MNR VBN NP SBAR-ADV,1
RB,radically,1
VP,ADVP-TMP VBZ SBAR,1
ADJP-PRD,RB RB,1
RB,awry,1
VP,ADVP-TMP ADVP-MNR VBZ NP,1
VBZ,leads,1
NNP,Atsushi,1
NNP,Muramatsu,2
NP,NP NN NN NN,1
VP,"VBD S PP-TMP , SBAR-TMP",1
JJ,postwar,1
NN,recovery,4
NN,self-criticism,1
VP,VB SBAR ADVP-TMP,1
VB,discover,1
NNP,Yutaka,1
NNP,Kume,4
NN,helm,1
VP,"VBD ADVP-MNR , `` S",1
RB,deeply,1
NP,DT NN .,1
JJ,second-largest,1
NP,NP JJ,1
JJ,fourth-largest,1
VP,NN PRT NP PP,1
NN,beat,1
PP,CONJP PP CONJP PP,1
NP-LGS,"NP , NP ,",2
NP,PRP$ JJR NN,1
NN,rival,1
NNP,Toyota,11
NNP,Honda,8
JJ,relative,1
NN,pipsqueak,1
VP,VBG NP-ADV PP-TMP,1
VBG,dropping,1
VP,"VBD , PP-PRP",1
VBD,sagged,1
PP-PRP,ADVP IN IN NP,1
ADVP,RBS PP,1
RBS,Worst,1
VBN,preoccupied,1
NN,infighting,1
NN,cronyism,1
NN,rigidity,2
VB,Consider,1
NNP,Satoko,1
NNP,Kitada,1
JJ,30-year-old,1
NN,designer,2
NN,vehicle,2
NNS,interiors,1
VBD,joined,1
NNS,tasks,1
VBN,assigned,1
PP-MNR,ADVP IN NP,1
NN,dashboard,1
VBZ,recalls,1
S,"SBAR-ADV , NP-SBJ VP . ''",2
NN,speedometer,2
NP,"JJ , JJ NNS",2
JJ,boring,1
JJ,boxy,2
VP,ADVP-MNR VBG S,1
RB,Desperately,1
VBG,hoping,1
VB,spark,2
VBD,transferred,1
NP,CD JJ NNS CC NN NNS,1
JJ,middle,1
NNS,dealerships,1
NN,rookie,1
VP,"VB `` NP , '' S-CLR",1
NN,watching,1
VB,visit,1
JJ,chic,1
VB,gain,1
NNS,insights,1
NNS,trend-setters,1
JJ,town-watching,1
NNS,excursions,1
RB,downright,1
NNP,Zama,1
VB,check,2
JJ,trendy,1
VP,VBD PP-LOC-CLR ADVP-TMP,1
VBD,arrived,1
NN,door,1
VP,"VBD ADJP-PRD , S-ADV",1
JJ,afraid,1
VBG,fearing,1
NNS,trips,1
JJ,productive,1
NN,headquarters,1
NP,NP JJ NNP NN,1
NNP,Aoyama,1
VBD,liked,1
JJ,well-lighted,1
NN,lobby,2
NN,display,1
NNS,trucks,1
JJ,gloomy,1
NN,exhibit,1
VBN,refurbished,1
RB,Later,1
VBD,borrowed,1
NP,DT NN `` NN NN '',1
NN,inventiveness,1
NN,engineer,1
VBD,developed,3
NN,crab,1
VP,VBZ ADVP-DIR,2
VBZ,moves,1
RB,sideways,1
JJ,sudden,1
NNS,shifts,1
RP,across,1
ADJP,NP-ADV JJ,1
NP-ADV,DT RB,2
RB,bit,2
JJ,forced,1
VP,VB ADJP-PRD PRN,1
JJ,genuine,1
PRN,: ADVP,1
ADVP,"ADVP , PP , SBAR",1
ADVP,RB RB IN,1
NP-SBJ,DT JJR NNS,2
VBN,resisted,1
S,S : SINV .,1
NNS,die-hards,1
SINV,"S-TPC , '' VP NP-SBJ",1
VP,VP CC ADVP `` VP,1
VBN,neglected,1
NNP,Kouji,1
NNP,Hori,1
JJ,personnel,1
NNP,Technical,1
NN,pain,1
NN,adjusting,1
VBN,begun,2
JJ,exciting,2
S,"ADVP-TMP , NP-SBJ ADVP VP",1
RB,completely,3
VBD,revamped,1
JJ,near-luxury,1
CD,"17,699",1
VBZ,competes,1
JJ,broad,1
NN,upscale,1
NNS,sedans,3
VBD,replaced,1
JJ,pug-nosed,1
NN,body,3
JJ,aerodynamic,1
S,"PP-TMP , NP-SBJ ADVP VP .",1
NN,Nissan,1
NP,DT ADJP NNP JJ NN,1
CD,"13,249",1
NNP,240SX,1
JJ,sporty,1
NN,coupe,2
JJ,restyled,1
QP,RB JJ IN $ CD,1
CD,"33,000",1
VP,VBN PRT PP-CLR,1
VBN,squared,1
NP,DT NNP CD,1
NNP,Porche,1
CD,944,1
VBZ,begins,2
CD,"41,900",1
IN,Besides,2
NN,styling,1
NP-SBJ,DT JJ NNPS,1
NNPS,Nissans,1
NNS,engines,1
JJ,sophisticated,1
NP-SBJ,DT CD JJ NNS,1
VBG,outselling,1
NNS,predecessors,1
VBN,grabbed,2
JJ,limited-production,1
NNS,minicars,1
VBG,featuring,1
VBG,styling,1
ADJP,JJ RB S,1
JJ,odd,1
RB,enough,2
JJ,cute,1
JJ,peelback,1
NN,canvas,1
JJ,tilted,1
NNS,headlights,1
JJ,droopy-eyed,1
NN,look,1
S,"S , CC S , CC S .",1
NNPS,Paos,1
NN,waiting,1
NN,list,1
NNP,S-Cargo,2
JJ,offbeat,1
NN,van,1
JJ,snail-like,1
VBD,inspired,1
NN,design,2
NN,theme,2
NNS,chairs,1
NP-PRD,NNP NNS,1
NNS,seats,1
NN,shop,1
NNS,clocks,1
VBN,styled,1
JJ,oversized,1
VP,VP : CC VP,1
VBN,improved,2
NP,NP NN CC NN,1
NN,morale,1
VP,VBD NP PP-TMP PP-TMP,1
JJ,depressing,1
JJ,eight-year,1
VBD,continued,2
JJ,Strong,1
ADVP-TMP,ADVP NP,2
NN,tide,1
NP,RB DT ADJP NN NN,1
VB,recoup,1
NP,DT PRP$ NN NNS,1
NN,market-share,1
NP,ADVP CD,1
CD,1995,1
JJ,optimistic,1
NP-SBJ,NN JJ,1
NN,Everyone,1
JJ,else,2
VP,VB PRT '' PP-CLR,1
NNS,designs,1
NNP,Rama,1
NNP,Krishna,1
NP,JJ NNP PRN NNP,1
JJ,new-model,1
VP,VB PRN SBAR-TMP,1
VBZ,adds,5
SBAR-TMP,RB IN S,1
NP-SBJ,JJ NNP,1
JJ,arch-rival,1
VBZ,unleashes,1
NN,batch,1
S,"ADVP , PP-LOC , NP-SBJ VP .",1
VP,"VBN NP ADVP-TMP , ADVP",1
CD,5.2,1
PP,IN NP NP-TMP,1
NP-TMP,DT NN RB,2
NP-SBJ,RB WDT,1
VP,VBZ NP PP-DIR-CLR,1
VBZ,brings,2
PP-DIR-CLR,ADVP TO NP,1
VBZ,leaves,1
CD,5.5,1
NP,CD CC CD,1
FRAG,WRB .,1
WRB,Why,2
NP-SBJ,NP NN NNS,1
NN,new-model,1
NNS,successes,1
JJ,specialized,1
NP,JJ NNS NN,2
S,PP-LOC NP-SBJ ADVP VP .,1
NN,compact,1
NN,subcompact,2
NP,DT JJ NNS NNS,1
JJ,bread-and-butter,1
VBZ,trails,1
VBZ,hopes,3
VP,"VB S NP-TMP , PP",1
NNP,Stanza,5
JJ,compact,2
VP,VBN NP-PRD PP,1
NN,nonentity,1
NP,NP ADJP NNP,1
RB,hugely,1
NNP,Accord,3
NNP,Camry,1
S,"CC NP-TMP , NP-SBJ VP .",1
VBN,revamped,2
NP-SBJ,PRP$ JJ NNP,1
ADVP,NP-ADV JJR,1
VP,VBN NP NP-EXT,1
CD,"11,450",1
VP,VP RB VP,1
VP,VBP PP-LOC-CLR,1
